MATERIAL.1,THICKNESS.1,COATING.EG.1,COATING.HDG.1,QualityClass
5,0.8,0,0,Discrepant
5,0.8,0,0,Undersized
5,0.8,0,0,Undersized
5,0.8,0,0,Undersized
5,0.8,0,0,Satisfactory
5,0.8,0,0,Satisfactory
5,0.8,0,0,Discrepant
5,0.8,0,0,Undersized
5,0.8,0,0,Satisfactory
5,0.8,0,0,Undersized
5,0.8,0,0,Satisfactory
5,0.8,0,0,Satisfactory
5,0.8,0,0,Undersized
5,0.8,0,0,Satisfactory
5,0.8,0,0,Satisfactory
5,0.8,0,0,Undersized
5,0.8,0,0,Undersized
5,0.8,0,0,Satisfactory
4,1.2,0,1,Discrepant
4,1.2,0,1,Undersized
4,1.2,0,1,Satisfactory
4,1.2,0,1,Undersized
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Undersized
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Undersized
4,1.2,0,1,Undersized
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.2,0,1,Satisfactory
4,1.4,0,1,Discrepant
4,1.4,0,1,Discrepant
4,1.4,0,1,Discrepant
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Satisfactory
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Satisfactory
4,1.4,0,1,Undersized
4,1.4,0,1,Undersized
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
4,1.4,0,1,Satisfactory
