MATERIAL.1,THICKNESS.1,COATING.EG.1,COATING.HDG.1,COATING.WEIGHT.1,SURFACE.CLASS.1,MATERIAL.2,THICKNESS.2,COATING.EG.2,COATING.HDG.2,COATING.WEIGHT.2,SURFACE.CLASS.2,WELD.FORCE,MIN.BUTTON.DIA.OF.STACK.UP,WELD.CURRENT,WELD.TIME,QualityClass
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.3,720,Discrepant
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.3,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.3,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.6,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.6,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.6,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.9,720,Discrepant
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.9,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,7.9,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.2,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.2,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.2,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.5,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.5,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.5,720,Satisfactory
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.8,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.8,720,Undersized
5,0.8,0,0,0,3,5,0.8,0,0,0,3,674,5,8.8,720,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.5,300,Discrepant
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.5,300,Undersized
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.5,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.8,300,Undersized
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.8,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,7.8,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.1,300,Undersized
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.1,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.1,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.4,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.4,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.4,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.7,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,8.7,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.3,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.3,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.6,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.6,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.9,300,Undersized
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.9,300,Undersized
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.9,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.9,300,Satisfactory
4,1.2,0,1,70,1,4,1.4,0,1,70,1,899,6,9.9,300,Satisfactory
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,7.5,300,Discrepant
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,7.5,300,Discrepant
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,7.8,300,Discrepant
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,7.8,300,Undersized
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,7.8,300,Undersized
4,1.4,0,1,70,1,4,1.4,0,1,70,1,499,6,8.1,300,Undersized
